K;Iterations;SSE;Cluster Sizes;Best Cluster ID;Best Cluster Known Percentage;Potential Candidate Genes
2;4;3.8341;75-98;2;41.84%;ATS1,FUN26,SLA1,RRN10,---,EDE1,RGD1,SRO9,DOA4,HST4,UPC2,AKR1,GCN2,HIM1,NHX1,BUD16,UBP6,MMS2,GCN1,NCS6,ELP2,GRE3,PEX28,---,GON7,ECM25,RCY1,HCS1,HSL1,LOS1,GCN3,MRS4,RNP1,SEC22,DCS1,HLJ1,DNF3,PRC1,ALF1,NPR1,PEX17,VPS75,ALP1,RPD3,AHC1,---,---,NPT1,---,MCT1,---,DSE3,UAF30,DIG1,BRO1,VPS30,HFI1
3;9;3.4822;23-77-73;1;47.83%;ATS1,FUN26,SRO9,DOA4,HIM1,NHX1,GRE3,GCN3,MRS4,PRC1,VPS75,HFI1
4;9;2.7363;23-41-53-56;1;52.17%;ATS1,FUN26,SRO9,DOA4,HIM1,NHX1,GCN3,MRS4,MLH1,PRC1,HFI1
5;13;2.3939;20-31-46-52-24;5;50.00%;NGG1,SAP155,RPB9,INO1,SET2,NUP100,---,VPS36,IES2,URE2,BNI4,---
6;9;2.1979;26-11-22-38-30-46;2;54.55%;HST4,GCN1,GRE3,SEC22,DIG1
7;26;1.3939;22-11-1-38-24-36-41;3;100.00%;None
8;12;1.3174;7-10-1-30-24-35-36-30;3;100.00%;None
9;8;1.2773;8-10-1-31-24-31-20-12-36;3;100.00%;None
10;15;1.1535;7-10-1-31-16-25-20-18-33-12;3;100.00%;None
11;18;0.9566;8-10-1-31-10-25-20-18-23-26-1;3;100.00%;None
12;17;0.8773;5-7-1-30-10-25-20-18-23-25-1-8;3;100.00%;None
13;17;0.8071;5-7-1-30-10-25-20-17-23-25-1-7-2;13;100.00%;None
